,ZIP CODE,vacant_storefronts,poverty_rate,unemployment_rate,median_household_income
0,10001,219,13.05831533477322,3.621007233029336,92840.0
1,10002,214,27.3617620763458,3.350005288686744,36982.0
2,10003,144,9.203463984484236,3.14497470687424,118161.0
3,10004,20,1.3193403298350823,2.895622895622896,190223.0
4,10005,21,9.458682910010344,2.819280239054177,189702.0
5,10006,32,3.363518758085381,4.320987654320987,179044.0
6,10007,39,2.157398966879368,1.406563965170797,224063.0
7,10009,77,23.542546978597684,2.538570752484619,63717.0
8,10010,82,10.820694202985432,2.5589054978464656,132988.0
9,10011,161,9.915663637108,2.752293577981652,138272.0
10,10012,156,11.079969259979205,2.8012758285952017,106467.0
11,10013,190,10.727144500946514,2.2060646120796497,113191.0
12,10014,114,5.786419423692636,3.953771289537713,133501.0
13,10016,122,8.202504167151218,2.336980840418175,126628.0
14,10017,113,6.48744162564685,2.239923747276688,131045.0
15,10018,129,14.162211352519622,2.756527018822101,122484.0
16,10019,162,12.79567519858782,3.932118224265839,103792.0
17,10020,19,,,-666666666.0
18,10021,68,5.207000548345824,1.2017190152801358,122169.0
19,10022,210,3.9844540971292335,1.6058290888511602,150718.0
20,10023,49,7.95638986802197,2.6227597260673177,132605.0
21,10024,55,7.400825798358857,1.8913391248000324,143623.0
22,10025,63,14.26815947569634,3.5028009986709225,91624.0
23,10026,16,23.13900170313114,4.068569287453943,59691.0
24,10027,37,25.267540690272188,3.3995164480914357,51938.0
25,10028,67,5.295916839561097,2.0525613792422077,122969.0
26,10029,45,32.85998027320263,5.23879956104776,33720.0
27,10030,8,27.58320152361277,6.546754113812198,42348.0
28,10031,37,21.972935671727203,4.748130657221567,53660.0
29,10032,42,20.757692802883994,5.050081952285559,53525.0
30,10033,49,17.61828499808516,5.568156276180551,63093.0
31,10034,14,18.21090047393365,3.4967811463089533,54406.0
32,10035,37,36.77498853736818,4.558939873417722,29799.0
33,10036,117,14.328903888068623,2.9939894815927874,95301.0
34,10037,21,25.163560666137982,6.440490117603597,46263.0
35,10038,66,18.570851836899475,3.293775732622911,95702.0
36,10039,5,25.470410801493827,9.231470923603192,42278.0
37,10040,20,21.035838150289017,6.546311247584509,49677.0
38,10044,4,10.558207858979069,4.045718432510886,104808.0
39,10065,95,5.87894880174292,1.6677785190126753,148441.0
40,10069,6,9.254668649809949,2.2869022869022877,132500.0
41,10075,28,2.4544953116381687,0.2695837005547203,138640.0
42,10103,1,,,-666666666.0
43,10110,1,,,-666666666.0
44,10112,3,,,-666666666.0
45,10119,4,,,-666666666.0
46,10128,65,6.0078116969883855,2.4447918702364664,121829.0
47,10154,1,,,-666666666.0
48,10165,2,,,-666666666.0
49,10167,2,,,-666666666.0
50,10169,4,,,-666666666.0
51,10170,1,,,-666666666.0
52,10172,5,,,-666666666.0
53,10173,3,,,-666666666.0
54,10174,6,,,-666666666.0
55,10279,4,0.0,0.0,-666666666.0
56,10280,5,4.865206402695872,2.1623721351806293,182760.0
57,10282,1,2.3344284973197302,2.092788703983863,250001.0
58,10301,18,18.667033874965576,2.4692139668872075,62052.0
59,10302,11,16.875452369021772,2.742646013926389,66096.0
60,10303,10,23.01063439677301,2.459055993043142,67215.0
61,10304,26,21.5648424377648,3.535246620497777,54199.0
62,10305,12,12.316416352290792,3.2560291481117347,79742.0
63,10306,43,9.238784153517484,2.589924858832422,80834.0
64,10307,4,4.666756976429152,2.037252619324796,85103.0
65,10308,4,4.362416107382551,3.298689561680976,103027.0
66,10309,12,6.633298984248491,1.551238429736948,109457.0
67,10310,20,16.408394206815018,2.415510685019549,76075.0
68,10312,13,5.880816326530612,2.7264551994767823,97407.0
69,10314,43,9.127802766410769,2.607691038125103,91505.0
70,10451,42,36.13436627931193,4.468573257923381,30349.0
71,10452,25,36.225619680354335,5.771623591311458,29579.0
72,10453,11,37.765898344424,7.728154074267186,29136.0
73,10454,14,43.12021575090577,7.057930685555275,21447.0
74,10455,28,38.14298799595044,7.695740882427953,28585.0
75,10456,36,37.16424627611113,7.802090512290374,27917.0
76,10457,31,37.14274065315775,6.320258421781265,29767.0
77,10458,49,34.017485227162645,8.0168321104877,35423.0
78,10459,25,33.54946620686807,5.811254302409349,29284.0
79,10460,29,35.60615070937049,7.722382982483267,27545.0
80,10461,23,15.379560994640768,4.555994079921065,58305.0
81,10462,39,19.09329724566152,5.667177663981213,54278.0
82,10463,29,16.71206537413876,3.9628428709140304,58408.0
83,10464,4,7.106598984771575,3.833515881708653,96366.0
84,10465,6,12.734459216672656,3.6526763145468175,75617.0
85,10466,9,17.81756756756757,6.036046530979048,58393.0
86,10467,30,25.195026571743707,7.079996930082631,39372.0
87,10468,15,29.751183614656235,7.404049561801148,37804.0
88,10469,13,15.595607919488067,4.686817066200451,65399.0
89,10470,12,12.49600715517792,3.693138010794141,61266.0
